Species1	Species2	TraitValue1	TraitValue2	PatristicDistance	NormalizedTraitDifference	NormalizedPatristicDistance	Sbm	Sou	FinalScore	AIC_BM	AIC_OU	delta_AIC	SelectedModel
Macaca_nemestrina	Trachypithecus_cristatus	1.04217615297	0.838418459403	38.5936741546	0.168932589602866	0.317870869959041	0.294587472219382	0.445643783138204	0.236837550844641	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cacajao_calvus	Daubentonia_madagascariensis	1.20580906763	0.818043971839	121.413057303	0.321490495121044	0.999999999862453	0.314964745853684	0.736674496958801	0.236833848802907	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_assamensis	Varecia_rubra	0.868307461744	1.256038828	121.4130573156	0.321462530445974	0.999999999966231	0.314938818309803	0.736632965751816	0.236799897188498	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Eulemur_mongoz	Varecia_variegata	1.42779244599	1.18687521669	52.64325314	0.199741029225057	0.433588069538368	0.298058978308281	0.513427000960021	0.236520432199332	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_radiata	Macaca_mulatta	0.9222421018	1.0163729387	10.2479298865	0.0780425306187181	0.084405500633392	0.26531850142304	0.255729723211284	0.236451352152011	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Colobus_polykomos	Eulemur_macaco	0.935484496328	1.32240333486	121.4130573131	0.320788875330741	0.99999999994564	0.31431412499677	0.735631133513849	0.235982283991014	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Saimiri_sciureus	Galago_senegalensis	1.31773332654	0.930853140027	121.413057302	0.320756829494588	0.999999999854217	0.314284402933676	0.735583410884981	0.235943402738678	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_maura	Eulemur_macaco	0.935763721557	1.32240333486	121.4130573131	0.320557373686844	0.99999999994564	0.31409939944325	0.735286247969392	0.235701428569935	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Mico_argentatus	Pan_paniscus	0.84285099368	1.14174945891	78.0653383503	0.247812442689544	0.642973170049919	0.303392901197036	0.611460991256	0.235667130310827	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Ateles_marginatus	Colobus_guereza	1.2773068744	0.978426015951	78.065338352	0.247797845159229	0.642973170063921	0.303375917009553	0.611433046645195	0.235642478523263	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Macaca_nigra	Cheirogaleus_medius	0.968816141026	1.35534465104	121.413057312	0.320465259538929	0.99999999993658	0.314013953422132	0.735148932339549	0.235589693416901	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Trachypithecus_phayrei	Colobus_guereza	0.811250299303	0.978426015951	27.0170263236	0.138602995733141	0.222521588040237	0.289136225934093	0.378229613641686	0.235589535322958	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cercopithecus_pogonias	Pongo_abelii	0.888741768747	1.15198860256	62.1515760356	0.218254184969768	0.511901910780032	0.29965760646524	0.552547658129821	0.235583880900766	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Leontocebus_nigricollis	Macaca_thibetana	0.972058707442	0.67332143316	78.0653383533	0.247678801579904	0.642973170074628	0.303237404469829	0.61120511128233	0.235441471786993	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cebus_olivaceus	Nomascus_concolor	1.61201247014	1.31327768994	78.06533835	0.247676733772188	0.642973170047448	0.303234998399664	0.611201151286261	0.235437980743755	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Erythrocebus_patas	Colobus_guereza	0.775399547174	0.978426015951	38.593674154	0.168326341587421	0.3178708699541	0.293579433847241	0.444221427210592	0.235234413609209	11.8833270502149	-28.8301865462559	40.7135135964709	OU
Cebus_albifrons	Hapalemur_griseus	1.39875685547	1.01260734095	121.413057304	0.32015103979523	0.99999999987069	0.31372244979394	0.734680152044355	0.235208614624333	11.8833270502149	-28.8301865462559	40.7135135964709	OU
